trat;luz;temp;sub;umidade;rep;germ;plant;plantm;rm;plantanorm
177;escuro;35;EP;umido;3;1;1;9;0;0
178;escuro;35;SV;seco;1;7;7;3;0;0
178;escuro;35;SV;seco;2;5;5;5;0;0
178;escuro;35;SV;seco;3;10;10;0;0;0
179;escuro;35;SV;intermed;1;5;5;5;0;0
179;escuro;35;SV;intermed;2;4;4;6;0;0
179;escuro;35;SV;intermed;3;7;7;3;0;0
180;escuro;35;SV;umido;1;6;6;4;0;0
180;escuro;35;SV;umido;2;6;6;4;0;0
180;escuro;35;SV;umido;3;2;2;8;0;0
181;escuro;35;EV;seco;1;8;8;2;0;0
181;escuro;35;EV;seco;2;6;6;4;0;0
181;escuro;35;EV;seco;3;6;6;4;0;0
182;escuro;35;EV;intermed;1;5;5;5;0;0
182;escuro;35;EV;intermed;2;1;1;9;0;0
182;escuro;35;EV;intermed;3;6;6;4;0;0
183;escuro;35;EV;umido;1;4;4;6;0;0
183;escuro;35;EV;umido;2;5;3;5;2;0
183;escuro;35;EV;umido;3;3;5;7;-2;0
184;escuro;35;SA;seco;1;8;8;2;0;0
184;escuro;35;SA;seco;2;8;8;2;0;0
184;escuro;35;SA;seco;3;9;9;1;0;0
185;escuro;35;SA;intermed;1;2;2;8;0;0
185;escuro;35;SA;intermed;2;5;5;5;0;0
185;escuro;35;SA;intermed;3;6;6;4;0;0
186;escuro;35;SA;umido;1;5;5;5;0;0
186;escuro;35;SA;umido;2;4;4;6;0;0
186;escuro;35;SA;umido;3;4;4;6;0;0
187;escuro;35;EA;seco;1;2;2;8;0;0
187;escuro;35;EA;seco;2;3;3;7;0;0
187;escuro;35;EA;seco;3;5;5;5;0;0
188;escuro;35;EA;intermed;1;2;2;8;0;0
188;escuro;35;EA;intermed;2;5;5;5;0;0
188;escuro;35;EA;intermed;3;1;1;9;0;0
189;escuro;35;EA;umido;1;0;0;10;0;0
189;escuro;35;EA;umido;2;1;1;9;0;0
189;escuro;35;EA;umido;3;0;0;10;0;0
190;escuro;20-30;RP;seco;1;5;5;5;0;0
190;escuro;20-30;RP;seco;2;4;4;6;0;0
190;escuro;20-30;RP;seco;3;7;7;3;0;0
191;escuro;20-30;RP;intermed;1;6;6;4;0;0
191;escuro;20-30;RP;intermed;2;5;5;5;0;0
191;escuro;20-30;RP;intermed;3;10;10;0;0;0
192;escuro;20-30;RP;umido;1;4;4;6;0;0
192;escuro;20-30;RP;umido;2;4;4;6;0;0
192;escuro;20-30;RP;umido;3;6;6;4;0;0
193;escuro;20-30;SP;seco;1;5;5;5;0;0
193;escuro;20-30;SP;seco;2;6;6;4;0;0
193;escuro;20-30;SP;seco;3;1;1;9;0;0
194;escuro;20-30;SP;intermed;1;2;2;8;0;0
194;escuro;20-30;SP;intermed;2;7;7;3;0;0
194;escuro;20-30;SP;intermed;3;1;1;9;0;0
195;escuro;20-30;SP;umido;1;5;5;5;0;0
195;escuro;20-30;SP;umido;2;5;5;5;0;0
195;escuro;20-30;SP;umido;3;4;4;6;0;0
196;escuro;20-30;EP;seco;1;7;7;3;0;0
196;escuro;20-30;EP;seco;2;4;4;6;0;0
196;escuro;20-30;EP;seco;3;6;6;4;0;0
197;escuro;20-30;EP;intermed;1;5;5;5;0;0
197;escuro;20-30;EP;intermed;2;5;5;5;0;0
197;escuro;20-30;EP;intermed;3;4;4;6;0;0
198;escuro;20-30;EP;umido;1;6;6;4;0;0
198;escuro;20-30;EP;umido;2;4;4;6;0;0
198;escuro;20-30;EP;umido;3;5;5;5;0;0
199;escuro;20-30;SV;seco;1;4;3;6;1;0
199;escuro;20-30;SV;seco;2;5;5;5;0;0
199;escuro;20-30;SV;seco;3;9;9;1;0;0
200;escuro;20-30;SV;intermed;1;5;5;5;0;0
200;escuro;20-30;SV;intermed;2;6;6;4;0;0
200;escuro;20-30;SV;intermed;3;6;6;4;0;0
201;escuro;20-30;SV;umido;1;5;5;5;0;0
201;escuro;20-30;SV;umido;2;9;9;1;0;0
201;escuro;20-30;SV;umido;3;4;4;6;0;0
202;escuro;20-30;EV;seco;1;6;6;4;0;0
202;escuro;20-30;EV;seco;2;9;9;1;0;0
202;escuro;20-30;EV;seco;3;5;5;5;0;0
203;escuro;20-30;EV;intermed;1;6;6;4;0;0
203;escuro;20-30;EV;intermed;2;3;3;7;0;0
203;escuro;20-30;EV;intermed;3;3;3;7;0;0
204;escuro;20-30;EV;umido;1;4;4;6;0;0
204;escuro;20-30;EV;umido;2;3;3;7;0;0
204;escuro;20-30;EV;umido;3;5;5;5;0;0
205;escuro;20-30;SA;seco;1;8;8;2;0;0
205;escuro;20-30;SA;seco;2;7;7;3;0;0
205;escuro;20-30;SA;seco;3;7;7;3;0;0
206;escuro;20-30;SA;intermed;1;7;7;3;0;0
206;escuro;20-30;SA;intermed;2;6;6;4;0;0
206;escuro;20-30;SA;intermed;3;8;8;2;0;0
207;escuro;20-30;SA;umido;1;7;7;3;0;0
207;escuro;20-30;SA;umido;2;8;8;2;0;0
207;escuro;20-30;SA;umido;3;7;7;3;0;0
208;escuro;20-30;EA;seco;1;3;3;7;0;0
208;escuro;20-30;EA;seco;2;1;1;9;0;0
208;escuro;20-30;EA;seco;3;2;2;8;0;0
209;escuro;20-30;EA;intermed;1;4;2;6;2;0
209;escuro;20-30;EA;intermed;2;1;1;9;0;0
209;escuro;20-30;EA;intermed;3;1;1;9;0;0
210;escuro;20-30;EA;umido;1;2;2;8;0;0
210;escuro;20-30;EA;umido;2;1;1;9;0;0
210;escuro;20-30;EA;umido;3;3;3;7;0;0
